"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.04.2024","446,415","447,405","450,195","443,705","","0,11%"
"01.03.2024","445,920","451,105","455,310","445,680","","-1,03%"
"01.02.2024","450,580","449,755","455,590","445,860","","0,30%"
"01.01.2024","449,230","456,810","458,905","444,290","","-0,92%"
"01.12.2023","453,400","459,360","462,510","452,150","","-0,81%"
"01.11.2023","457,100","468,860","471,200","455,910","","-2,39%"
"01.10.2023","468,290","477,910","481,060","467,990","","-1,91%"
"01.09.2023","477,390","458,360","486,210","454,595","","4,27%"
"01.08.2023","457,840","444,600","467,110","441,975","","3,10%"
"01.07.2023","444,080","449,100","450,305","439,175","","-1,39%"
"01.06.2023","450,330","447,755","455,265","443,600","","0,94%"
"01.05.2023","446,130","452,155","453,560","440,740","","-1,21%"
"01.04.2023","451,580","455,860","459,610","443,065","","-0,66%"
"01.03.2023","454,600","445,050","470,815","427,040","","2,11%"
"01.02.2023","445,200","460,500","461,290","442,750","","-3,30%"
"01.01.2023","460,400","462,150","466,765","459,420","","-0,46%"
"01.12.2022","462,540","469,060","474,620","459,360","","-1,33%"
"01.11.2022","468,790","467,260","471,000","457,045","","0,38%"
"01.10.2022","467,000","476,660","481,760","462,645","","-1,97%"
"01.09.2022","476,390","473,050","482,545","470,295","","0,78%"
"01.08.2022","472,690","477,160","480,860","458,860","","-0,88%"
"01.07.2022","476,890","470,360","486,730","461,860","","1,47%"
"01.06.2022","470,000","425,350","474,360","419,250","","10,57%"
"01.05.2022","425,080","443,350","445,350","411,850","","-4,06%"
"01.04.2022","443,080","470,860","476,860","440,850","","-5,69%"
"01.03.2022","469,790","490,115","527,125","456,660","","-3,75%"
"01.02.2022","488,090","434,700","502,615","424,900","","12,38%"
"01.01.2022","434,330","435,000","437,150","433,460","","-0,11%"
"01.12.2021","434,830","438,450","441,500","431,650","","-1,11%"
"01.11.2021","439,730","427,650","440,840","427,250","","2,91%"
"01.10.2021","427,280","426,200","428,390","423,985","","0,34%"
"01.09.2021","425,830","426,255","427,390","423,835","","-0,05%"
"01.08.2021","426,030","425,545","428,150","423,460","","0,20%"
"01.07.2021","425,180","426,755","431,340","424,195","","-0,44%"
"01.06.2021","427,080","427,755","429,295","425,645","","-0,20%"
"01.05.2021","427,940","430,105","430,105","425,855","","-0,47%"
"01.04.2021","429,940","425,705","434,325","425,705","","1,03%"
"01.03.2021","425,540","417,940","426,150","417,440","","1,86%"
"01.02.2021","417,770","423,440","425,230","414,245","","-1,42%"
"01.01.2021","423,770","421,440","425,140","418,125","","0,59%"
"01.12.2020","421,270","425,690","426,090","417,440","","-1,00%"
"01.11.2020","425,520","432,945","436,040","422,440","","-1,68%"
"01.10.2020","432,780","432,845","433,740","427,040","","0,02%"
"01.09.2020","432,680","420,240","433,465","417,825","","3,00%"
"01.08.2020","420,070","421,780","424,435","417,685","","-0,32%"
"01.07.2020","421,420","405,255","422,100","405,255","","3,86%"
"01.06.2020","405,770","411,355","411,355","395,255","","-1,46%"
"01.05.2020","411,770","427,460","428,460","411,350","","-3,26%"
"01.04.2020","425,630","448,625","449,870","424,130","","-5,02%"
"01.03.2020","448,110","382,025","466,635","379,010","","17,32%"
"01.02.2020","381,960","380,225","382,645","375,325","","0,66%"
"01.01.2020","379,460","382,025","382,025","375,625","","-0,89%"
"01.12.2019","382,860","386,575","388,095","378,110","","-0,94%"
"01.11.2019","386,510","389,075","390,425","384,425","","-0,62%"
"01.10.2019","388,910","387,925","390,775","387,235","","0,23%"
"01.09.2019","388,010","387,875","389,145","384,585","","0,22%"
"01.08.2019","387,160","384,425","388,870","384,310","","0,97%"
"01.07.2019","383,430","380,600","386,490","380,120","","0,75%"
"01.06.2019","380,560","382,720","385,130","376,270","","-0,52%"
"01.05.2019","382,560","380,900","382,830","377,270","","0,46%"
